time, ALLSE, ALLKE, ALLWK, ALLFD
3.631039289757609367e-04, 2.146122169494628906e+01, 9.013659057617187500e+02, 1.451395996093750000e+03, 4.897090148925781250e+02
3.660726652015000582e-04, 2.083911132812500000e+01, 9.009395751953125000e+02, 1.451395996093750000e+03, 4.907082824707031250e+02
3.690417215693742037e-04, 2.081051063537597656e+01, 8.999837646484375000e+02, 1.451395996093750000e+03, 4.916453247070312500e+02
3.720099339261651039e-04, 2.075443267822265625e+01, 8.990264282226562500e+02, 1.451395996093750000e+03, 4.925030517578125000e+02
3.750931355170905590e-04, 2.101329803466796875e+01, 8.976555786132812500e+02, 1.451395996093750000e+03, 4.934408569335937500e+02
3.780618717428296804e-04, 2.077134323120117188e+01, 8.969328002929687500e+02, 1.451395996093750000e+03, 4.942802734375000000e+02
3.810307825915515423e-04, 2.044436836242675781e+01, 8.963159179687500000e+02, 1.451395996093750000e+03, 4.951558837890625000e+02
3.841135476250201464e-04, 2.051714706420898438e+01, 8.953245849609375000e+02, 1.451395996093750000e+03, 4.959916687011718750e+02
3.870830987580120564e-04, 2.088476562500000000e+01, 8.941195678710937500e+02, 1.451395996093750000e+03, 4.967451171875000000e+02
3.900529118254780769e-04, 2.073210525512695312e+01, 8.933643188476562500e+02, 1.451395996093750000e+03, 4.975181884765625000e+02
3.930228995159268379e-04, 2.056274032592773438e+01, 8.926807861328125000e+02, 1.451395996093750000e+03, 4.982829589843750000e+02
3.961071779485791922e-04, 2.032928848266601562e+01, 8.919707641601562500e+02, 1.451395996093750000e+03, 4.991053466796875000e+02
3.990766126662492752e-04, 2.067619895935058594e+01, 8.907246704101562500e+02, 1.451395996093750000e+03, 4.998829040527343750e+02
4.020461346954107285e-04, 2.062432289123535156e+01, 8.900467529296875000e+02, 1.451395996093750000e+03, 5.006242065429687500e+02
4.050153656862676144e-04, 2.040412330627441406e+01, 8.895042114257812500e+02, 1.451395996093750000e+03, 5.012811889648437500e+02
4.080995859112590551e-04, 2.069813728332519531e+01, 8.883380737304687500e+02, 1.451395996093750000e+03, 5.019617004394531250e+02
4.110694571863859892e-04, 2.061099815368652344e+01, 8.877429809570312500e+02, 1.451395996093750000e+03, 5.026267089843750000e+02
4.140388628002256155e-04, 2.084772491455078125e+01, 8.866929931640625000e+02, 1.451395996093750000e+03, 5.033634643554687500e+02
4.170082975178956985e-04, 2.052051734924316406e+01, 8.861928710937500000e+02, 1.451395996093750000e+03, 5.041026611328125000e+02
4.200914409011602402e-04, 2.059254646301269531e+01, 8.853243408203125000e+02, 1.451395996093750000e+03, 5.048301086425781250e+02
4.230597114656120539e-04, 2.078312110900878906e+01, 8.844257202148437500e+02, 1.451395996093750000e+03, 5.054411010742187500e+02
4.260287387296557426e-04, 2.071776199340820312e+01, 8.838918457031250000e+02, 1.451395996093750000e+03, 5.060469665527343750e+02
4.291118530090898275e-04, 2.073942565917968750e+01, 8.831826782226562500e+02, 1.451395996093750000e+03, 5.066889648437500000e+02
4.320820444263517857e-04, 2.066222381591796875e+01, 8.825700073242187500e+02, 1.451395996093750000e+03, 5.073013610839843750e+02
4.350513918325304985e-04, 2.090480804443359375e+01, 8.816875000000000000e+02, 1.451395996093750000e+03, 5.078733215332031250e+02
4.380202444735914469e-04, 2.062127685546875000e+01, 8.813078613281250000e+02, 1.451395996093750000e+03, 5.084752197265625000e+02
4.411035915836691856e-04, 2.076548004150390625e+01, 8.804688720703125000e+02, 1.451395996093750000e+03, 5.090975341796875000e+02
4.440731427166610956e-04, 2.070342826843261719e+01, 8.799708251953125000e+02, 1.451395996093750000e+03, 5.096361999511718750e+02
4.470428102649748325e-04, 2.084120559692382812e+01, 8.792175292968750000e+02, 1.451395996093750000e+03, 5.101604614257812500e+02
4.500130016822367907e-04, 2.071863937377929688e+01, 8.787210083007812500e+02, 1.451395996093750000e+03, 5.107009582519531250e+02
4.530968435574322939e-04, 2.076409912109375000e+01, 8.781023559570312500e+02, 1.451395996093750000e+03, 5.112612609863281250e+02
4.560665402095764875e-04, 2.074772071838378906e+01, 8.774631958007812500e+02, 1.451395996093750000e+03, 5.118446350097656250e+02
