time, ALLSE, ALLKE, ALLWK, ALLFD
1.800566387828439474e-04, 1.620029907226562500e+03, 1.686636840820312500e+03, 3.545982177734375000e+03, 1.851192626953125000e+02
1.830865076044574380e-04, 1.631073364257812500e+03, 1.737435302734375000e+03, 3.615364013671875000e+03, 1.912945404052734375e+02
1.860068878158926964e-04, 1.638164916992187500e+03, 1.789460205078125000e+03, 3.682091308593750000e+03, 1.967884216308593750e+02
1.890421990538015962e-04, 1.644400634765625000e+03, 1.846465698242187500e+03, 3.752011230468750000e+03, 2.025904083251953125e+02
1.920790236908942461e-04, 1.647792480468750000e+03, 1.906399536132812500e+03, 3.822489990234375000e+03, 2.085633544921875000e+02
1.950020086951553822e-04, 1.651509521484375000e+03, 1.966039062500000000e+03, 3.890663330078125000e+03, 2.137315979003906250e+02
1.980410161195322871e-04, 1.651577514648437500e+03, 2.030517089843750000e+03, 3.962049316406250000e+03, 2.196334228515625000e+02
2.010794414673000574e-04, 1.650288940429687500e+03, 2.097346435546875000e+03, 4.034179931640625000e+03, 2.252870941162109375e+02
2.040050894720479846e-04, 1.646893676757812500e+03, 2.163919921875000000e+03, 4.103566894531250000e+03, 2.309310455322265625e+02
2.070436312351375818e-04, 1.641180664062500000e+03, 2.235548339843750000e+03, 4.175841308593750000e+03, 2.368068237304687500e+02
2.100819256156682968e-04, 1.633395874023437500e+03, 2.309153076171875000e+03, 4.248456054687500000e+03, 2.433070983886718750e+02
2.130065840901806951e-04, 1.623183227539062500e+03, 2.382911132812500000e+03, 4.318946289062500000e+03, 2.499049682617187500e+02
2.160440635634586215e-04, 1.610267211914062500e+03, 2.460927978515625000e+03, 4.392063476562500000e+03, 2.576391906738281250e+02
2.190819213865324855e-04, 1.596348754882812500e+03, 2.540029541015625000e+03, 4.464680664062500000e+03, 2.645546875000000000e+02
2.220075257355347276e-04, 1.581801269531250000e+03, 2.617341064453125000e+03, 4.534205078125000000e+03, 2.710188903808593750e+02
2.250450634164735675e-04, 1.564617187500000000e+03, 2.699966308593750000e+03, 4.606728515625000000e+03, 2.778701171875000000e+02
2.280817279824987054e-04, 1.544930419921875000e+03, 2.785419921875000000e+03, 4.679703613281250000e+03, 2.846625671386718750e+02
2.310063864570111036e-04, 1.524230712890625000e+03, 2.870008544921875000e+03, 4.750280761718750000e+03, 2.912862548828125000e+02
2.340443752473220229e-04, 1.501229003906250000e+03, 2.959750732421875000e+03, 4.823250000000000000e+03, 2.982988281250000000e+02
2.370839793002232909e-04, 1.474683227539062500e+03, 3.051400146484375000e+03, 4.895922851562500000e+03, 3.054449462890625000e+02
2.400124358246102929e-04, 1.447981933593750000e+03, 3.141070800781250000e+03, 4.965728027343750000e+03, 3.128552856445312500e+02
2.430523745715618134e-04, 1.416747802734375000e+03, 3.235836914062500000e+03, 5.038376464843750000e+03, 3.207530212402343750e+02
2.460928517393767834e-04, 1.385118164062500000e+03, 3.332698242187500000e+03, 5.111489746093750000e+03, 3.287100219726562500e+02
2.490202314220368862e-04, 1.352816406250000000e+03, 3.426660156250000000e+03, 5.181621093750000000e+03, 3.365795288085937500e+02
2.520449343137443066e-04, 1.319563842773437500e+03, 3.524983642578125000e+03, 5.254078613281250000e+03, 3.452104492187500000e+02
