time, ALLSE, ALLKE, ALLWK, ALLFD
2.251093246741220355e-04, 3.997320556640625000e+02, 1.494275390625000000e+03, 2.447744628906250000e+03, 4.910003967285156250e+02
2.280237386003136635e-04, 3.937118530273437500e+02, 1.510733764648437500e+03, 2.466272705078125000e+03, 4.987772216796875000e+02
2.310512500116601586e-04, 3.880061950683593750e+02, 1.526733764648437500e+03, 2.484744628906250000e+03, 5.065542297363281250e+02
2.340786741115152836e-04, 3.821847839355468750e+02, 1.541833740234375000e+03, 2.502104980468750000e+03, 5.145991821289062500e+02
2.371081354795023799e-04, 3.756330871582031250e+02, 1.557145019531250000e+03, 2.518990966796875000e+03, 5.226248168945312500e+02
2.400260709691792727e-04, 3.676002502441406250e+02, 1.572602661132812500e+03, 2.534849121093750000e+03, 5.298652343750000000e+02
2.430563763482496142e-04, 3.616240234375000000e+02, 1.587713256835937500e+03, 2.551225830078125000e+03, 5.372875976562500000e+02
2.460887189954519272e-04, 3.545279235839843750e+02, 1.603617065429687500e+03, 2.567760009765625000e+03, 5.446206665039062500e+02
2.490108017809689045e-04, 3.485355224609375000e+02, 1.618202514648437500e+03, 2.583129638671875000e+03, 5.516859130859375000e+02
2.520440903026610613e-04, 3.405278930664062500e+02, 1.633308593750000000e+03, 2.598683593750000000e+03, 5.590708007812500000e+02
2.550794451963156462e-04, 3.335569152832031250e+02, 1.648407714843750000e+03, 2.614384277343750000e+03, 5.665398559570312500e+02
2.580044092610478401e-04, 3.265057067871093750e+02, 1.663325195312500000e+03, 2.629844970703125000e+03, 5.736927490234375000e+02
2.610421215649694204e-04, 3.209837646484375000e+02, 1.679146484375000000e+03, 2.646101074218750000e+03, 5.801389160156250000e+02
2.640807360876351595e-04, 3.156919555664062500e+02, 1.693875244140625000e+03, 2.662217285156250000e+03, 5.867514648437500000e+02
2.670081739779561758e-04, 3.069093017578125000e+02, 1.710959228515625000e+03, 2.677557861328125000e+03, 5.931503906250000000e+02
2.700496406760066748e-04, 2.998583374023437500e+02, 1.725965209960937500e+03, 2.693180419921875000e+03, 5.997556152343750000e+02
2.730914275161921978e-04, 2.912161865234375000e+02, 1.743344970703125000e+03, 2.708169433593750000e+03, 6.061834106445312500e+02
2.760216884780675173e-04, 2.846054077148437500e+02, 1.758186645507812500e+03, 2.722355712890625000e+03, 6.120582275390625000e+02
2.790658327285200357e-04, 2.769169616699218750e+02, 1.773774536132812500e+03, 2.736657470703125000e+03, 6.180708007812500000e+02
2.821118105202913284e-04, 2.697874145507812500e+02, 1.789012817382812500e+03, 2.750905273437500000e+03, 6.239744262695312500e+02
2.850461460184305906e-04, 2.624531555175781250e+02, 1.803674072265625000e+03, 2.764437011718750000e+03, 6.300817871093750000e+02
