time, ALLSE, ALLKE, ALLWK, ALLFD
1.170161413028836250e-04, 4.987576599121093750e+02, 9.434909057617187500e+02, 1.630089843750000000e+03, 1.441572418212890625e+02
1.200580882141366601e-04, 4.986081848144531250e+02, 9.847624511718750000e+02, 1.678233764648437500e+03, 1.524743347167968750e+02
1.230992638738825917e-04, 4.977882690429687500e+02, 1.022230346679687500e+03, 1.722911499023437500e+03, 1.609723968505859375e+02
1.260298740817233920e-04, 4.975176696777343750e+02, 1.053679931640625000e+03, 1.762435302734375000e+03, 1.694654998779296875e+02
1.290754298679530621e-04, 5.000155639648437500e+02, 1.081403930664062500e+03, 1.800918212890625000e+03, 1.776175842285156250e+02
1.320095761911943555e-04, 5.034006652832031250e+02, 1.105525024414062500e+03, 1.836366455078125000e+03, 1.855287475585937500e+02
1.350580569123849273e-04, 5.063540649414062500e+02, 1.128977905273437500e+03, 1.871430419921875000e+03, 1.936856842041015625e+02
1.381106267217546701e-04, 5.108343200683593750e+02, 1.150272827148437500e+03, 1.904043579101562500e+03, 2.007780151367187500e+02
1.410506520187482238e-04, 5.157752075195312500e+02, 1.169105468750000000e+03, 1.933427124023437500e+03, 2.076280975341796875e+02
1.440988853573799133e-04, 5.195761718750000000e+02, 1.188495849609375000e+03, 1.962702026367187500e+03, 2.153750457763671875e+02
1.470392453484237194e-04, 5.193548583984375000e+02, 1.207265991210937500e+03, 1.989380615234375000e+03, 2.233454132080078125e+02
1.500924699939787388e-04, 5.185923461914062500e+02, 1.226283081054687500e+03, 2.015244506835937500e+03, 2.315553436279296875e+02
1.530334120616316795e-04, 5.190858764648437500e+02, 1.242228515625000000e+03, 2.038300170898437500e+03, 2.389170074462890625e+02
1.560873351991176605e-04, 5.193125610351562500e+02, 1.256284423828125000e+03, 2.060184082031250000e+03, 2.467546081542968750e+02
1.590277242939919233e-04, 5.194104614257812500e+02, 1.268316528320312500e+03, 2.079463134765625000e+03, 2.545913696289062500e+02
1.620809780433773994e-04, 5.198512573242187500e+02, 1.278947631835937500e+03, 2.098120361328125000e+03, 2.626180725097656250e+02
1.650197373237460852e-04, 5.218620605468750000e+02, 1.287848510742187500e+03, 2.115759765625000000e+03, 2.699929504394531250e+02
1.680697314441204071e-04, 5.247989501953125000e+02, 1.295258666992187500e+03, 2.133733398437500000e+03, 2.773018188476562500e+02
1.710052165435627103e-04, 5.288062133789062500e+02, 1.303279541015625000e+03, 2.151243164062500000e+03, 2.843525695800781250e+02
1.740541629260405898e-04, 5.299426879882812500e+02, 1.312226074218750000e+03, 2.169249755859375000e+03, 2.913870544433593750e+02
1.771043898770585656e-04, 5.324579467773437500e+02, 1.320828735351562500e+03, 2.187037353515625000e+03, 2.980722045898437500e+02
1.800415629986673594e-04, 5.342142944335937500e+02, 1.329008178710937500e+03, 2.203883056640625000e+03, 3.049858093261718750e+02
1.830891415011137724e-04, 5.356770019531250000e+02, 1.336898193359375000e+03, 2.220685302734375000e+03, 3.125870666503906250e+02
1.860217016655951738e-04, 5.363336181640625000e+02, 1.344017944335937500e+03, 2.235987060546875000e+03, 3.202402343750000000e+02
1.890681742224842310e-04, 5.369435424804687500e+02, 1.350772216796875000e+03, 2.250994384765625000e+03, 3.280794677734375000e+02
1.920025097206234932e-04, 5.383862304687500000e+02, 1.356174194335937500e+03, 2.264930419921875000e+03, 3.350003967285156250e+02
1.950498262885957956e-04, 5.404412841796875000e+02, 1.361588623046875000e+03, 2.278918457031250000e+03, 3.417104492187500000e+02
1.980998931685462594e-04, 5.412538452148437500e+02, 1.367896118164062500e+03, 2.292415039062500000e+03, 3.481930236816406250e+02
2.010367024922743440e-04, 5.411015014648437500e+02, 1.374430053710937500e+03, 2.305179687500000000e+03, 3.545990905761718750e+02
2.040867839241400361e-04, 5.419141845703125000e+02, 1.381371093750000000e+03, 2.318558105468750000e+03, 3.609380187988281250e+02
2.070247719530016184e-04, 5.420468139648437500e+02, 1.387694946289062500e+03, 2.332022216796875000e+03, 3.670386352539062500e+02
2.100761630572378635e-04, 5.447288208007812500e+02, 1.393943847656250000e+03, 2.346294189453125000e+03, 3.726741943359375000e+02
2.130171196768060327e-04, 5.475768432617187500e+02, 1.399298217773437500e+03, 2.359944335937500000e+03, 3.781268920898437500e+02
2.160738076781854033e-04, 5.507753906250000000e+02, 1.404215576171875000e+03, 2.373490234375000000e+03, 3.837415771484375000e+02
2.190171799156814814e-04, 5.531632080078125000e+02, 1.409042236328125000e+03, 2.385990234375000000e+03, 3.893996582031250000e+02
2.220719179604202509e-04, 5.542339477539062500e+02, 1.414918457031250000e+03, 2.398871093750000000e+03, 3.955098266601562500e+02
2.250122197438031435e-04, 5.554042358398437500e+02, 1.420404907226562500e+03, 2.411034912109375000e+03, 4.011440429687500000e+02
2.280642365803942084e-04, 5.565490722656250000e+02, 1.425976196289062500e+03, 2.423319824218750000e+03, 4.067062683105468750e+02
2.310047566425055265e-04, 5.573472900390625000e+02, 1.432095214843750000e+03, 2.435313232421875000e+03, 4.120820617675781250e+02
2.340589999221265316e-04, 5.568239135742187500e+02, 1.439241210937500000e+03, 2.448344238281250000e+03, 4.181636047363281250e+02
2.371127338847145438e-04, 5.581342773437500000e+02, 1.446206298828125000e+03, 2.462002685546875000e+03, 4.234001464843750000e+02
2.400541852694004774e-04, 5.598444824218750000e+02, 1.452884887695312500e+03, 2.475730224609375000e+03, 4.284667358398437500e+02
2.431087195873260498e-04, 5.628015747070312500e+02, 1.459965209960937500e+03, 2.490706542968750000e+03, 4.337487182617187500e+02
2.460477990098297596e-04, 5.650816040039062500e+02, 1.467448364257812500e+03, 2.505537597656250000e+03, 4.388707885742187500e+02
2.490998595021665096e-04, 5.666429443359375000e+02, 1.476114990234375000e+03, 2.521168701171875000e+03, 4.440739746093750000e+02
2.520372217986732721e-04, 5.681909179687500000e+02, 1.483955444335937500e+03, 2.536294677734375000e+03, 4.494872131347656250e+02
2.550854405853897333e-04, 5.700195922851562500e+02, 1.491604614257812500e+03, 2.552032714843750000e+03, 4.552763977050781250e+02
2.580196305643767118e-04, 5.711002197265625000e+02, 1.499920410156250000e+03, 2.567558837890625000e+03, 4.607511901855468750e+02
2.610646479297429323e-04, 5.716986694335937500e+02, 1.509615478515625000e+03, 2.584333007812500000e+03, 4.663214416503906250e+02
2.641088212840259075e-04, 5.733323364257812500e+02, 1.520138427734375000e+03, 2.601884033203125000e+03, 4.711841430664062500e+02
2.670380054041743279e-04, 5.752564086914062500e+02, 1.530821044921875000e+03, 2.619280517578125000e+03, 4.756893005371093750e+02
2.700791810639202595e-04, 5.776477050781250000e+02, 1.541848510742187500e+03, 2.637284423828125000e+03, 4.803410644531250000e+02
2.730061532929539680e-04, 5.790018310546875000e+02, 1.552421020507812500e+03, 2.653647216796875000e+03, 4.848433227539062500e+02
2.760448260232806206e-04, 5.797644042968750000e+02, 1.562966674804687500e+03, 2.669392333984375000e+03, 4.896591796875000000e+02
2.790823054965585470e-04, 5.796834106445312500e+02, 1.572148681640625000e+03, 2.683612060546875000e+03, 4.945511779785156250e+02
2.820073859766125679e-04, 5.803668212890625000e+02, 1.579510375976562500e+03, 2.695724121093750000e+03, 4.987955322265625000e+02
2.850585733540356159e-04, 5.813343505859375000e+02, 1.585645629882812500e+03, 2.706869384765625000e+03, 5.028971557617187500e+02
2.880095271393656731e-04, 5.820045776367187500e+02, 1.590523559570312500e+03, 2.716612060546875000e+03, 5.070945129394531250e+02
2.910757611971348524e-04, 5.833663940429687500e+02, 1.595476806640625000e+03, 2.726090820312500000e+03, 5.112213439941406250e+02
2.940309641417115927e-04, 5.832286376953125000e+02, 1.600442749023437500e+03, 2.735072021484375000e+03, 5.150296020507812500e+02
2.970994974020868540e-04, 5.826586914062500000e+02, 1.606012695312500000e+03, 2.744320800781250000e+03, 5.188341674804687500e+02
3.000541473738849163e-04, 5.820333862304687500e+02, 1.611937011718750000e+03, 2.753757324218750000e+03, 5.225652465820312500e+02
3.030074003618210554e-04, 5.809862060546875000e+02, 1.619073608398437500e+03, 2.764164794921875000e+03, 5.264827270507812500e+02
3.060725866816937923e-04, 5.804220581054687500e+02, 1.627544921875000000e+03, 2.775942626953125000e+03, 5.301291503906250000e+02
3.090233949478715658e-04, 5.799801025390625000e+02, 1.636839111328125000e+03, 2.787849121093750000e+03, 5.335520019531250000e+02
3.120877372566610575e-04, 5.786149291992187500e+02, 1.647331787109375000e+03, 2.800695556640625000e+03, 5.370162963867187500e+02
3.150397678837180138e-04, 5.751102905273437500e+02, 1.659220214843750000e+03, 2.813386230468750000e+03, 5.418765258789062500e+02
3.181075735483318567e-04, 5.737496337890625000e+02, 1.668751342773437500e+03, 2.827206298828125000e+03, 5.455432739257812500e+02
3.210620488971471786e-04, 5.739757080078125000e+02, 1.678398559570312500e+03, 2.840660888671875000e+03, 5.488922729492187500e+02
3.240157966502010822e-04, 5.743270874023437500e+02, 1.688237915039062500e+03, 2.854011474609375000e+03, 5.527300415039062500e+02
3.270827291999012232e-04, 5.731919555664062500e+02, 1.699056396484375000e+03, 2.867728759765625000e+03, 5.569444580078125000e+02
3.300361568108201027e-04, 5.718389892578125000e+02, 1.709133422851562500e+03, 2.880609619140625000e+03, 5.613208618164062500e+02
3.331024781800806522e-04, 5.714960327148437500e+02, 1.717698730468750000e+03, 2.893325683593750000e+03, 5.658450317382812500e+02
3.360565751791000366e-04, 5.715059204101562500e+02, 1.725091308593750000e+03, 2.905140380859375000e+03, 5.703417358398437500e+02
3.390112542547285557e-04, 5.714031982421875000e+02, 1.732134765625000000e+03, 2.916477050781250000e+03, 5.748162231445312500e+02
3.420801076572388411e-04, 5.711279907226562500e+02, 1.738984252929687500e+03, 2.927507812500000000e+03, 5.793835449218750000e+02
3.450343501754105091e-04, 5.706723632812500000e+02, 1.744612182617187500e+03, 2.937475341796875000e+03, 5.840522460937500000e+02
3.481024759821593761e-04, 5.712061767578125000e+02, 1.749712890625000000e+03, 2.947392578125000000e+03, 5.884867553710937500e+02
3.510581736918538809e-04, 5.720180053710937500e+02, 1.754132324218750000e+03, 2.956535644531250000e+03, 5.928952636718750000e+02
3.540152101777493954e-04, 5.720667114257812500e+02, 1.758500732421875000e+03, 2.965160888671875000e+03, 5.972608642578125000e+02
3.570859262254089117e-04, 5.729138183593750000e+02, 1.762074096679687500e+03, 2.973682861328125000e+03, 6.015469970703125000e+02
3.600435738917440176e-04, 5.738316650390625000e+02, 1.765029541015625000e+03, 2.981430664062500000e+03, 6.058751220703125000e+02
3.630015999078750610e-04, 5.742244873046875000e+02, 1.767996826171875000e+03, 2.988612548828125000e+03, 6.097470703125000000e+02
3.660734510049223900e-04, 5.740040893554687500e+02, 1.771207275390625000e+03, 2.995612548828125000e+03, 6.137058715820312500e+02
